Reused Comment,Reused Comment Author (Role),Reused Code Author,Reused Chunk Name (Assignment),Reused Code Link,Reused Date,Parent Comment,Parent Comment Author (Role),Parent Code Author,Parent Chunk Name (Assignment),Parent Code Link,Parent Date
"Rep invariant--for every field in this class, what must always be true? what must always be false? what about any relationships between the fields that must be preserved?",lakras (T),jmathus,Board (ps3),https://10.18.6.30/chunks/view/114347#comment-242851,2015-04-12 22:52:33,"Like the abstraction function, I recommend that you approach the rep invariant from the perspective of the fields--for every field in this class, what must always be true? what must always be false? what about any relationships between the fields that must be preserved?",lakras (T),adiaz327,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/107836#comment-228856,2015-03-22 18:41:05
"You can think of the abstraction function as a one- or two-sentence summary of what this class is, in plain English, and how you express that in your code.",lakras (T),jmathus,Board (ps3),https://10.18.6.30/chunks/view/114347#comment-242886,2015-04-12 23:17:10,"You can think of the abstraction function as a one- or two-sentence summary of what this class is, in plain English, and how you express that in your code.",lakras (T),smohan94,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/107040#comment-229250,2015-03-22 21:04:08
add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),gesayas,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/89701#comment-204128,2015-02-11 17:48:33,add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),fcicileo,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/90397#comment-204105,2015-02-11 17:38:04
add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),mmgong,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/89844#comment-204137,2015-02-11 17:51:56,add parameters above your test cases so you can more easily make sure your tests are written correctly?,tricias (S),fcicileo,RulesOf6005Test (ps0),https://10.18.6.30/chunks/view/90397#comment-204105,2015-02-11 17:38:04
Nice job on covering all parts of your current partitions. It looks pretty thorough.,aluh (S),nicolekg,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97331#comment-212887,2015-03-02 20:16:53,Nice job on covering all parts of your current partitions.,aluh (S),delerme,ExtractTest (ps1),https://10.18.6.30/chunks/view/98027#comment-212733,2015-03-02 18:45:11
I would probably put these directly above the tests they correspond with. Makes it easier for anyone reading your code,dumesnil (S),jefflu,FilterTest (ps1),https://10.18.6.30/chunks/view/95091#comment-208924,2015-02-28 20:12:33,I would probably put these directly above the tests they correspond with.,dumesnil (S),haoshen,FilterTest (ps1),https://10.18.6.30/chunks/view/94981#comment-208920,2015-02-28 20:05:48
"Some of your methods have a lot of repetition. I know that this is due to the way you implemented, but if you could find a way to make those methods more DRY, that would be great.",ejfegan (S),rrrahman,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/107220#comment-227893,2015-03-22 11:36:20,"Some of your methods have a lot of repetition. I know that this is due to the way you implemented, but if you could find a way to make those methods more DRY, that would be great.",ejfegan (S),npeaks,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/106482#comment-227874,2015-03-22 11:28:49
Nice job outlining all the partitions,castanom (S),seansoni,BoardTest (ps3),https://10.18.6.30/chunks/view/113744#comment-241453,2015-04-12 14:37:26,Nice job outlining all the partitions,castanom (S),ytchen33,FilterTest (ps1),https://10.18.6.30/chunks/view/97726#comment-213173,2015-03-02 22:01:02
Good description of partitions.,dpchen (S),tfh,FilterTest (ps1),https://10.18.6.30/chunks/view/95727#comment-210823,2015-03-01 19:07:23,Good description of partitions.,dpchen (S),sarastik,ExtractTest (ps1),https://10.18.6.30/chunks/view/96833#comment-210816,2015-03-01 19:01:27
Reuse code and call another function you wrote which does the same thing.,brishima (S),stewarta,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89930#comment-203538,2015-02-11 13:29:25,Reuse code and call another function you wrote which does the same thing.,brishima (S),deldar,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90339#comment-203411,2015-02-11 11:40:26
Worse than using tabs is mixing tabs and spaces.,brishima (S),stewarta,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89930#comment-203539,2015-02-11 13:29:51,Worse than using tabs is mixing tabs and spaces.,brishima (S),yzhang17,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90306#comment-203431,2015-02-11 11:54:26
"Whitespace looks nicer like this:
for (int i = 0; i < 4; i++) {",vdean (S),espinoza,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89511#comment-203418,2015-02-11 11:45:17,"Whitespace looks nicer like this:
for (int i = 0; i < 4; i++) {",vdean (S),akshayr,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90682#comment-203368,2015-02-11 11:07:59
"store constants with ALL_CAPS and the keyword ""final"". Still, good job avoiding magic numbers.",cajubelt (S),jlucier,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91741#comment-204189,2015-02-11 18:43:31,"better to use the keyword ""final"" when assigning constants. Still, good job avoiding magic numbers.",cajubelt (S),slakshmi,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90394#comment-204180,2015-02-11 18:32:48
You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),rlathe,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89643#comment-204767,2015-02-11 23:11:39,"Could call drawRegularPolygon in this method, passing a 4 in the sides parameter. This loop is repeated in drawRegularPolygon.",osmanyc (S),smohan94,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90671#comment-204725,2015-02-11 22:59:31
"Keep in mind that while the autograder won't be looking over your comments and your testing strategy, we will be manually grading them in your final version.",lakras (T),mcover,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95544#comment-213180,2015-03-02 22:03:07,"Keep in mind that while the autograder won't be looking over your comments and your testing strategy, we will be manually grading them in your final version.",lakras (T),briantom,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96793#comment-213047,2015-03-02 21:22:10
Nice job on covering all parts of your current partitions. It looks pretty thorough.,aluh (S),orlowski,FilterTest (ps1),https://10.18.6.30/chunks/view/97782#comment-212946,2015-03-02 20:41:05,Nice job on covering all parts of your current partitions. It looks pretty thorough.,aluh (S),nicolekg,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97331#comment-212887,2015-03-02 20:16:53
Reuse code and call another function you wrote which does the same thing.,brishima (S),ganand,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89830#comment-203523,2015-02-11 13:25:14,Reuse code and call another function you wrote which does the same thing.,brishima (S),deldar,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90339#comment-203411,2015-02-11 11:40:26
You should look into having Eclipse do automatic formatting.,ddoucet (T),erinhong,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91884#comment-206354,2015-02-13 11:10:37,"I think you should do further research into the Math class :)  (Looks good, but unnecessary!)",ksilva (T),nicole16,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90062#comment-205972,2015-02-12 20:24:52
Good job using a good job using a loop instead of repeating code!,kpvm (S),smohan94,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90671#comment-204386,2015-02-11 20:22:50,good job using a loop instead of repeating code!,kpvm (S),kelseyc,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90051#comment-204360,2015-02-11 20:10:53
You could call You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),faaya,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90560#comment-204787,2015-02-11 23:25:31,You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),rlathe,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89643#comment-204767,2015-02-11 23:11:39
You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),jerop,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89412#comment-204837,2015-02-11 23:45:27,You could call You could call drawRegularPolygon in this method to keep the code DRY. This loop is repeated in drawRegularPolygon.,osmanyc (S),faaya,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90560#comment-204787,2015-02-11 23:25:31
Nice job outlining all the partitions,castanom (S),shinjini,BoardTest (ps3),https://10.18.6.30/chunks/view/114221#comment-241464,2015-04-12 14:44:50,Nice job outlining all the partitions,castanom (S),chul,BoardTest (ps3),https://10.18.6.30/chunks/view/114097#comment-241455,2015-04-12 14:38:31
Consider partitioning specifically on the inputs and outputs of your functions.,lahuang4 (S),jabrown,ExtractTest (ps1),https://10.18.6.30/chunks/view/95529#comment-208725,2015-02-28 16:33:12,"Consider partitioning specifically on the inputs and outputs of your functions, instead of general types of test cases.",lahuang4 (S),jsgordon,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95458#comment-208698,2015-02-28 16:19:29
"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),liherman,FilterTest (ps1),https://10.18.6.30/chunks/view/97179#comment-212971,2015-03-02 20:50:07,"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),mbasile,ExtractTest (ps1),https://10.18.6.30/chunks/view/97626#comment-212958,2015-03-02 20:45:24
Great use of Constants to remove the use of magic numbers,ellisonj (S),lynnt,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90770#comment-203982,2015-02-11 16:42:40,Great use of Constants to remove the use of magic numbers,ellisonj (S),adelarue,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91090#comment-203943,2015-02-11 16:31:36
Keeping a constant NUMBER_SIDES_IN_SQUARE and then using a call to calculateRegularPolygonAngle(NUM_SIDES_IN_SQUARE) would help to avoid the use of a magic number here.,wallace_ (S),phzhou,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91520#comment-204895,2015-02-12 00:23:25,Keeping a constant NUMBER_SIDES_IN_SQUARE and then using a call to calculateRegularPolygonAngle(NUM_SIDES_IN_SQUARE) would help to avoid the use of a magic number here.,wallace_ (S),vye16,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89863#comment-204869,2015-02-12 00:04:08
"I think your code could be more DRY if you could call your method below with drawRegularPolygon(turtle,4,sideLength) rather than writing a similar for loop again.",acm (S),garronc,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90194#comment-205805,2015-02-12 18:29:25,"I think your code could be more DRY if you could call your method below with drawRegularPolygon(turtle,4,sideLength) rather than writing a similar for loop again.",acm (S),epayne,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91586#comment-205774,2015-02-12 18:09:32
"Some of your methods have a lot of repetition. I know that this is due to the way you implemented, but if you could find a way to make those methods more DRY, that would be great.",ejfegan (S),npeaks,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/106482#comment-227874,2015-03-22 11:28:49,"In general, your methods have a lot of repetition. I know that this is due to the way you implemented, but if you could find a way to make the methods more DRY, that would be great.",ejfegan (S),briantom,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/107728#comment-227860,2015-03-22 11:21:44
You should make a private checkRep() function to help you,csiu22 (S),mmahmood,ConcretePage (ps2),https://10.18.6.30/chunks/view/107962#comment-228799,2015-03-22 18:22:47,You should make a private checkRep() function to help you,csiu22 (S),porrson,ConcretePage (ps2),https://10.18.6.30/chunks/view/106583#comment-228736,2015-03-22 17:55:20
Maybe it'd be worth it to make 180 a constant used in many locations since it shows up a lot (and 90 and 360),lahuang4 (S),ellisonj,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91288#comment-204553,2015-02-11 21:44:36,"Although maybe it'd be worth it to make 180 a constant used in many locations since it shows up a lot, hmm... (and 90 and 360)",lahuang4 (S),deannah,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90704#comment-204513,2015-02-11 21:28:33
Keeping a constant NUMBER_SIDES_IN_SQUARE and then using a call to calculateRegularPolygonAngle(NUM_SIDES_IN_SQUARE) would help to avoid the use of a magic number here.,wallace_ (S),label,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90150#comment-204886,2015-02-12 00:13:46,Keeping a constant NUMBER_SIDES_IN_SQUARE and then using a call to calculateRegularPolygonAngle(NUM_SIDES_IN_SQUARE) would help to avoid the use of a magic number here.,wallace_ (S),vye16,TurtleSoup (ps0),https://10.18.6.30/chunks/view/89863#comment-204869,2015-02-12 00:04:08
"I like your input partitioning, but I believe the assignment also wanted us to write out our partitions for the output space as well. And perhaps add how each test case covers the input/output partitions?",gesayas (S),shinjini,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96942#comment-210030,2015-03-01 12:56:36,"I like your input partitioning, but I believe the assignment also wanted us to write out our partitions for the output space as well",gesayas (S),vtjeng,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96997#comment-210014,2015-03-01 12:46:38
May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),huypham,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97652#comment-213075,2015-03-02 21:34:32,May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),shreyash,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97365#comment-213049,2015-03-02 21:24:17
Make sure to also partition on your output space.,lakras (T),ajays235,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96082#comment-213131,2015-03-02 21:49:40,Make sure to also partition on your output space.,lakras (T),chandani,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95359#comment-213117,2015-03-02 21:46:29
"See ""Tab policy"" here: http://web.mit.edu/6.005/www/sp15/getting-started/#config-eclipse",lakras (T),kiranw,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/94995#comment-213084,2015-03-02 21:37:54,"See ""Tab policy"" here: http://web.mit.edu/6.005/www/sp15/getting-started/#config-eclipse",lakras (T),cmozarmi,TurtleSoup (ps0),https://10.18.6.30/chunks/view/91862#comment-205696,2015-02-12 17:27:36
"In your partitioning comment, say which test covers parts of the partition. This will help you determine if you've covered all the necessary cases",vdean (S),ellisonj,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97897#comment-212060,2015-03-02 11:48:18,"In your partitioning comment, say with test covers parts of the partition. This will help you determine if you've covered all the necessary cases",vdean (S),snmishra,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97354#comment-212051,2015-03-02 11:44:51
"This takes up too much space, which makes it hard to look through your code quickly. Try condensing it like this - on one line, write ""By list length: 0, 1, or >1"" or something along those lines. Then remove the extra new lines.",vdean (S),kimberli,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97234#comment-212093,2015-03-02 11:59:17,"This takes up too much space, which makes it hard to look through your code quickly. Try condensing it like this - on one line, write ""Partition 1: number of tweets: 0, 1, or >1"" or something along those lines. Then remove the extra new lines",vdean (S),rrrahman,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/98073#comment-212079,2015-03-02 11:55:03
Can be declared as final,chandani (S),jlwass,ConcretePage (ps2),https://10.18.6.30/chunks/view/101040#comment-228000,2015-03-22 12:37:23,Can be declared as final,chandani (S),jlwass,ConcretePage (ps2),https://10.18.6.30/chunks/view/101040#comment-227998,2015-03-22 12:35:54
Not sure about this but I think it's better to use List instead of ArrayList for rep independence ,chandani (S),label,ConcretePage (ps2),https://10.18.6.30/chunks/view/101220#comment-228016,2015-03-22 12:46:08,Not sure about this but I think it's better to use List instead of ArrayList for rep independence ,chandani (S),mcover,ConcretePage (ps2),https://10.18.6.30/chunks/view/102014#comment-228011,2015-03-22 12:44:32
I think it would be beneficial for a reader of this code to have a comment stating what each field is when they are declared.,wallace_ (S),prinster,ConcretePage (ps2),https://10.18.6.30/chunks/view/107523#comment-229304,2015-03-22 21:13:02,I think it would be beneficial for a reader of this code to have a comment stating what each field is when they are declared.,wallace_ (S),smohan94,ConcretePage (ps2),https://10.18.6.30/chunks/view/107037#comment-229252,2015-03-22 21:04:21
Reuse code and call another function you wrote which does the same thing.,brishima (S),yzhang17,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90306#comment-203453,2015-02-11 12:20:20,Reuse code and call another function you wrote which does the same thing.,brishima (S),deldar,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90339#comment-203411,2015-02-11 11:40:26
"DRY, use a for loop to make this more concise.",gcliang (S),oguevara,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90892#comment-204164,2015-02-11 18:07:09,"DRY, use a for loop to make this more concise.",gcliang (S),hugoz,TurtleSoup (ps0),https://10.18.6.30/chunks/view/90172#comment-204156,2015-02-11 18:03:36
"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),mbasile,ExtractTest (ps1),https://10.18.6.30/chunks/view/97626#comment-212958,2015-03-02 20:45:24,"Dont use a lot of lines for that.
You can use commas to add more Instants in the same line:
$ private static Instant d1, d2, d3, d4, d5;",espinoza (S),zpsaras,ExtractTest (ps1),https://10.18.6.30/chunks/view/97681#comment-212899,2015-03-02 20:21:42
"Dont use a lot of lines for that.
You can use commas to add more Tweets in the same line:
$ private static Tweet tweet1, tweet2, tweet3;",espinoza (S),liherman,FilterTest (ps1),https://10.18.6.30/chunks/view/97179#comment-212972,2015-03-02 20:50:19,"Dont use a lot of lines for that.
You can use commas to add more Tweets in the same line:
$ private static Tweet tweet1, tweet2, tweet3;",espinoza (S),mbasile,ExtractTest (ps1),https://10.18.6.30/chunks/view/97626#comment-212959,2015-03-02 20:45:36
I think it would be beneficial for a reader of this code to have a comment stating what each field is when they are declared.,wallace_ (S),shreyash,ConcretePage (ps2),https://10.18.6.30/chunks/view/106039#comment-229324,2015-03-22 21:17:34,I think it would be beneficial for a reader of this code to have a comment stating what each field is when they are declared.,wallace_ (S),smohan94,ConcretePage (ps2),https://10.18.6.30/chunks/view/107037#comment-229252,2015-03-22 21:04:21
Can be declared as final,chandani (S),jlwass,ConcretePage (ps2),https://10.18.6.30/chunks/view/101040#comment-228001,2015-03-22 12:37:49,Can be declared as final,chandani (S),jlwass,ConcretePage (ps2),https://10.18.6.30/chunks/view/101040#comment-227998,2015-03-22 12:35:54
Can be declared as final,chandani (S),jlwass,ConcretePage (ps2),https://10.18.6.30/chunks/view/101040#comment-228002,2015-03-22 12:37:49,Can be declared as final,chandani (S),jlwass,ConcretePage (ps2),https://10.18.6.30/chunks/view/101040#comment-227998,2015-03-22 12:35:54
Do you really need this? Can't you just call the toString method on the filter and then to to lowercase or something?,arjunnar (T),hollandd,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/106604#comment-228597,2015-03-22 17:19:04,Do you really need this? Can't you just call the toString method on the filter and then to to lowercase or something?,arjunnar (T),bzeng,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/106713#comment-228563,2015-03-22 17:02:50
"You can collapse this into a single line as ""private static Instant d1, d2, d3, d4, d5, d6, d7;"" and on line 46 as ""private static Tweet tweet1, tweet2, tweet3, tweet4, tweet5, tweet6, tweet7, tweet8;""",atitus (S),guezmike,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95797#comment-208594,2015-02-28 14:47:49,"You can collapse this into a single line as ""private static Instant d1, d2, d3, d4;"" and on line 46 as ""private static Tweet tweet1, tweet2, tweet3, tweet4, tweet5;""",atitus (S),anr,ExtractTest (ps1),https://10.18.6.30/chunks/view/95967#comment-208426,2015-02-28 13:19:08
"Dont use a lot of lines for that.
You can use commas to add more Tweets in the same line:
$ private static Tweet tweet1, tweet2, tweet3;",espinoza (S),mbasile,ExtractTest (ps1),https://10.18.6.30/chunks/view/97626#comment-212959,2015-03-02 20:45:36,"Dont use a lot of lines for that.
You can use commas to add more Tweets in the same line:
$ private static Tweet tweet1, tweet2, tweet3;",espinoza (S),zpsaras,ExtractTest (ps1),https://10.18.6.30/chunks/view/97681#comment-212901,2015-03-02 20:22:19
May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),bosshua,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97482#comment-213081,2015-03-02 21:36:37,May want to put test cases and which partitions they cover here just so that you can easily see if you covered everything.,rrrahman (S),huypham,MySocialNetworkTest (ps1),https://10.18.6.30/chunks/view/97652#comment-213075,2015-03-02 21:34:32
Make sure to go back and write this,csiu22 (S),eshirley,ConcretePage (ps2),https://10.18.6.30/chunks/view/107181#comment-228880,2015-03-22 18:46:43,Make sure to go back and write this,csiu22 (S),mmahmood,ConcretePage (ps2),https://10.18.6.30/chunks/view/107962#comment-228795,2015-03-22 18:22:04
I would probably put these directly above the tests they correspond with. Makes it easier for anyone reading your code. This is my opinion,dumesnil (S),anr,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/95973#comment-208960,2015-02-28 20:39:15,I would probably put these directly above the tests they correspond with. Makes it easier for anyone reading your code,dumesnil (S),jefflu,FilterTest (ps1),https://10.18.6.30/chunks/view/95091#comment-208924,2015-02-28 20:12:33
"Since these are constants, their names should be in all caps. For example, LOWER_BOUND. They must also be private static final.",lakras (T),resh_mir,ConcreteStyle (ps2),https://10.18.6.30/chunks/view/105840#comment-228893,2015-03-22 18:52:17,"Since these are constants, their names should be in all caps. For example, ERROR_1_STRING.",lakras (T),aandre,JottoGUI (ps4),https://10.18.6.30/chunks/view/41528#comment-31684,2013-11-22 02:28:02
What about output key size and output set size?,csiu22 (S),kccandon,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/96129#comment-209000,2015-02-28 21:19:46,What about output key size and output set size?,csiu22 (S),haoshen,SocialNetworkTest (ps1),https://10.18.6.30/chunks/view/94984#comment-208988,2015-02-28 21:11:25
